NCT ID,Trial Title,Pre-Digested Summary,Base Cancer,Subtype/Histology,Biomarkers,Clinical State / Descriptors,Stage Category
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Ovarian Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Uterine Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Stomach Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Esophageal Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Anal Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Cervical Cancer,N/A,N/A,Brain Metastases,Metastatic
NCT06328686,"Arginine With Whole Brain Radiation Therapy for the Treatment of Brain Metastases","Display: Brain Metastases from any primary solid tumor
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• Diagnosis of brain metastases from any primary cancer
• Patient is planned to undergo whole-brain radiation therapy
Key Exclusion:
• Systemic therapy will continue during WBRT",Sarcoma,N/A,N/A,Brain Metastases,Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Anal Cancer,N/A,N/A,N/A,Non-Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Rectal Cancer,N/A,N/A,N/A,Non-Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Cervical Cancer,N/A,N/A,N/A,Non-Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Uterine Cancer,N/A,N/A,N/A,Non-Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Vaginal Cancer,N/A,N/A,N/A,Non-Metastatic
NCT05394428,"Novel Functional Anatomic and Biomarker Indices of Radiation-Induced Female Sexual Toxicities in a Multi-Center Cohort","Display: Pelvic Malignancies (Anal, Rectal, Cervical, Uterine, Vaginal, or Vulvar Cancer)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Patients with primary anal, rectal, cervical, uterine, vaginal, or vulvar cancer planned to receive pelvic radiotherapy
• ECOG performance status of 2 or less
Key Exclusion:
• Clinically or radiologically detectable widespread metastasis
• History of prior pelvic radiotherapy",Vulvar Cancer,N/A,N/A,N/A,Non-Metastatic
NCT04428671,"Pilot Study of Neoadjuvant/Adjuvant Cemiplimab for High Risk Cutaneous Squamous Cell Carcinoma","Display: High Risk, Recurrent, or Metastatic Cutaneous Squamous Cell Carcinoma (cSCC)
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• High risk cutaneous squamous cell carcinoma (cSCC)
• Cancer must be confirmed to be surgically resectable
Key Exclusion:
• Determined not to be a surgical candidate
• History of active immune-mediated conditions",Cutaneous Squamous Cell Carcinoma,N/A,N/A,High Risk,Non-Metastatic
NCT04428671,"Pilot Study of Neoadjuvant/Adjuvant Cemiplimab for High Risk Cutaneous Squamous Cell Carcinoma","Display: High Risk, Recurrent, or Metastatic Cutaneous Squamous Cell Carcinoma (cSCC)
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• High risk cutaneous squamous cell carcinoma (cSCC)
• Cancer must be confirmed to be surgically resectable
Key Exclusion:
• Determined not to be a surgical candidate
• History of active immune-mediated conditions",Cutaneous Squamous Cell Carcinoma,N/A,N/A,N/A,Recurrent
NCT04428671,"Pilot Study of Neoadjuvant/Adjuvant Cemiplimab for High Risk Cutaneous Squamous Cell Carcinoma","Display: High Risk, Recurrent, or Metastatic Cutaneous Squamous Cell Carcinoma (cSCC)
Metastatic: true
Biomarkers: N/A
Key Inclusion:
• High risk cutaneous squamous cell carcinoma (cSCC)
• Cancer must be confirmed to be surgically resectable
Key Exclusion:
• Determined not to be a surgical candidate
• History of active immune-mediated conditions",Cutaneous Squamous Cell Carcinoma,N/A,N/A,N/A,Metastatic
NCT06008730,"Proton Beam Radiation Therapy in Patients with Resected N2 Non-Small Cell Lung Cancer","Display: Resected N2 Non-Small Cell Lung Cancer (NSCLC)
Metastatic: false
Biomarkers: EGFR: Negative, ALK: Negative
Key Inclusion:
• Complete (R0) surgical resection after pre-operative systemic therapy
• Pathology confirmed mediastinal (N2) lymph node involvement
Key Exclusion:
• Stage IV disease
• Tumors with targetable alterations in EGFR or ALK",Lung Cancer,Non-Small Cell Lung Cancer,"EGFR Negative, ALK Negative","Resected, N2 Disease",Non-Metastatic
NCT06650579,"Randomized Controlled Trial of Leuprolide Plus Abiraterone Acetate (AA) Versus Relugolix Plus AA for Advanced Prostate Cancer: The REVELUTION-2 Trial","Display: Advanced, Non-Metastatic, or Biochemically Recurrent Prostate Cancer
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Non-metastatic prostate cancer or non-metastatic, biochemically recurrent prostate cancer
• Planned to undergo curative-intent pelvic radiation therapy
Key Exclusion:
• Metastatic prostate cancer
• Any prior exposure to androgen deprivation therapy, chemotherapy, immunotherapy, or radiation therapy",Prostate Cancer,N/A,N/A,"High-Risk / Advanced Localized",Non-Metastatic
NCT06650579,"Randomized Controlled Trial of Leuprolide Plus Abiraterone Acetate (AA) Versus Relugolix Plus AA for Advanced Prostate Cancer: The REVELUTION-2 Trial","Display: Advanced, Non-Metastatic, or Biochemically Recurrent Prostate Cancer
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Non-metastatic prostate cancer or non-metastatic, biochemically recurrent prostate cancer
• Planned to undergo curative-intent pelvic radiation therapy
Key Exclusion:
• Metastatic prostate cancer
• Any prior exposure to androgen deprivation therapy, chemotherapy, immunotherapy, or radiation therapy",Prostate Cancer,N/A,N/A,Biochemically Recurrent,Non-Metastatic
NCT02977468,"Effects of MK-3475 (Pembrolizumab) on the Breast Tumor Microenvironment in Triple Negative Breast Cancer With and Without Intra-operative RT: a Window of Opportunity Study","Display: Early Stage, Node-Negative Triple Negative Breast Cancer (TNBC)
Metastatic: false
Biomarkers: ER: Negative, HER2: Negative
Key Inclusion:
• Histologically proven Triple Negative Breast Cancer (TNBC)
• Clinically node negative and no evidence of metastatic disease
Key Exclusion:
• Primary lesion > 3 cm
• Pathologically proven nodal disease",Breast Cancer,Triple Negative Breast Cancer,"ER Negative, HER2 Negative","Early Stage, Node-Negative, Treatment Naive",Non-Metastatic
NCT04683653,"RT-PACE: Phase I/II Study of Adjuvant Whole Pelvic Hypofractionated Radiotherapy for Non-Metastatic Cervical and Endometrial Cancer","Display: Non-Metastatic Endometrial and Cervical Cancer
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Diagnosis of non-metastatic primary cervical or uterine cancer
• Treated with standard-of-care hysterectomy with no gross residual disease
Key Exclusion:
• Distant metastases
• History of prior radiation to the pelvis",Cervical Cancer,N/A,N/A,Adjuvant,Non-Metastatic
NCT04683653,"RT-PACE: Phase I/II Study of Adjuvant Whole Pelvic Hypofractionated Radiotherapy for Non-Metastatic Cervical and Endometrial Cancer","Display: Non-Metastatic Endometrial and Cervical Cancer
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Diagnosis of non-metastatic primary cervical or uterine cancer
• Treated with standard-of-care hysterectomy with no gross residual disease
Key Exclusion:
• Distant metastases
• History of prior radiation to the pelvis",Endometrial Cancer,N/A,N/A,Adjuvant,Non-Metastatic
NCT04278118,"HiPPI: A Phase 2 Trial of Hypofractionated Pencil Beam Scanning Proton Therapy for Benign Intracranial Tumors","Display: Intracranial Tumors (Benign tumors including meningioma, pituitary adenoma, schwannoma, and Grade II-III meningioma)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Pathologically or radiographically diagnosed benign intracranial or nerve sheath tumor (meningioma, pituitary adenoma, schwannoma)
• Allows pathologically confirmed World Health Organization (WHO) grade 2-3 meningiomas
Key Exclusion:
• Prior radiation therapy that would overlap with the current target volume",Meningioma,WHO Grade 1-3,N/A,N/A,Non-Metastatic
NCT04278118,"HiPPI: A Phase 2 Trial of Hypofractionated Pencil Beam Scanning Proton Therapy for Benign Intracranial Tumors","Display: Intracranial Tumors (Benign tumors including meningioma, pituitary adenoma, schwannoma, and Grade II-III meningioma)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Pathologically or radiographically diagnosed benign intracranial or nerve sheath tumor (meningioma, pituitary adenoma, schwannoma)
• Allows pathologically confirmed World Health Organization (WHO) grade 2-3 meningiomas
Key Exclusion:
• Prior radiation therapy that would overlap with the current target volume",Pituitary Adenoma,N/A,N/A,N/A,Non-Metastatic
NCT04278118,"HiPPI: A Phase 2 Trial of Hypofractionated Pencil Beam Scanning Proton Therapy for Benign Intracranial Tumors","Display: Intracranial Tumors (Benign tumors including meningioma, pituitary adenoma, schwannoma, and Grade II-III meningioma)
Metastatic: false
Biomarkers: N/A
Key Inclusion:
• Pathologically or radiographically diagnosed benign intracranial or nerve sheath tumor (meningioma, pituitary adenoma, schwannoma)
• Allows pathologically confirmed World Health Organization (WHO) grade 2-3 meningiomas
Key Exclusion:
• Prior radiation therapy that would overlap with the current target volume",Schwannoma,N/A,N/A,N/A,Non-Metastatic
